Station;Latitude;Longitude;depth;si;no3;po4;T;so;O2;aou;o2s
47_SUR;-2.0465;72.1568;5;5.837580204;0.23682192;0.248985648;29.67430878;34.78001291;4.537332535;-0.122020103;102.7492981
47_DCM;-2.0465;72.1568;55;6.915472031;0.532373428;0.400445133;26.78071022;;4.446158409;0.304828078;93.89334106
48_SUR;-9.3921;66.4228;5;2.638029575;0.066947974;0.142633185;29.08341026;34.41651158;4.479183197;-0.052597731;101.1774063
48_DCM;-9.3921;66.4228;60;5.859521866;1.972059846;0.417572379;22.79830933;;4.2312994;0.457482874;90.82711029
49_SUR;-16.8084;59.5043;5;2.439771414;0.020191547;0.270349741;28.21549034;34.80332141;4.659451485;-0.021680526;100.4747925
50_SUR;-21.4966;56.9011;5;2.799277067;0.04779182;0.158301458;26.62388992;35.02801273;4.387272358;0.256658375;94.49481964
50_DCM;-21.4966;56.9011;120;3.264181137;0.723955691;0.205599666;22.38039017;;4.583959579;0.446388781;91.13440704
51_SUR;-21.5043;54.3563;5;3.043082714;0.036356859;0.139194652;26.68379974;35.01466186;4.401765347;0.213526025;95.40979767
51_DCM;-21.5043;54.3563;80;2.82514286;0.046461225;0.135392115;24.76400948;;4.760776997;0.023160025;99.52109528
52_SUR;-16.957;53.9801;5;3.578363657;0.038374152;0.145792961;27.42679024;34.87418703;4.579986572;0.017248094;99.61437988
52_DCM;-16.957;53.9801;70;5.446460247;3.255539656;0.208263233;25.45368958;;4.555442333;0.221856698;95.73539734
53_SUR;-13.0833;46.971;5;2.204615116;0.00042962;0.157112777;28.55300903;34.87920584;4.596473694;-0.063463472;101.7486725
54_SUR;-12.807;45.2247;5;2.283836126;0.000338869;0.188282087;28.31340981;34.9006165;4.576144218;-0.051188726;101.3201447
54_DCM;-12.807;45.2247;20;2.207473993;0.000883879;0.171608523;28.19948959;34.9006165;4.554304123;-0.025715655;100.7086182
55_SUR;-14.2296;43.9951;5;5.414571762;0.04025583;0.210441753;27.16909981;34.95811039;4.633254528;0.020768456;99.55871582
56_SUR;-15.3424;43.2965;5;4.982539177;0.019215664;0.194039643;27.09209061;34.97242128;4.631091118;0.026615774;99.43614197
57_SUR;-17.0248;42.7401;5;3.444157124;0.024673689;0.212532043;26.45479012;35.04178977;4.673221111;0.006593568;99.86104584
58_SUR;-17.4174;42.2547;5;3.444157124;0.024673689;0.212532043;26.45479012;35.04178977;4.673221111;0.006593568;99.86104584
58_DCM;-17.4174;42.2547;70;3.752906561;3.172697067;0.433315337;25.24549103;;4.14161396;0.60961926;87.47763062
60_SUR;-20.2417;40.0906;0;3.636645555;0.046716735;0.161750153;24.8484993;35.18291092;4.773409843;-0.007618807;100.272522
61_SUR;-21.3753;39.5633;5;3.177961349;0.053039797;0.141584992;24.49080086;35.2046078;4.815176487;0.00166825;99.98656464
62_SUR;-22.3368;40.3412;5;3.662057877;0.033479467;0.153571963;24.13030052;35.22486;4.87774086;-0.038041424;100.799942
64_SUR;-29.5019;37.9889;5;1.496832371;0.46735996;0.153836489;21.96998978;35.41117815;5.127290249;-0.110283092;102.2051086
